ano,mês,dia,subpref_sigla,subpref,lat,long,via,referencia,sentido,fonte,precipitacao
2020,10,20,CV,CASA VERDE/CACHOEIRINHA,-23.483028,-46.654806,R. QUIRINÓPOLIS,AV. IMIRIM,AMBOS,CET,46.4
2020,10,20,LA,LAPA,-23.526943,-46.684077,R. BR DO BANANAL (PERDIZES),R VENANCIO AIRES,UNICO ,CET,34.3
2020,10,20,CV,CASA VERDE/CACHOEIRINHA,-23.512464,-46.666557,AV. ORDEM E PROGRESSO,R. SAMARITA,AMBOS,CET,46.4
2020,10,20,VM,VILA MARIANA,-23.586848,-46.653085,AV. VINTE E TRES DE MAIO (LIBERDADE),VD GAL EUCLIDES DE FIGUEIREDO,AMBOS,CET,28.9
2020,10,20,SE,SE,-23.5486,-46.638604,PC. DA BANDEIRA (REPUBLICA),PQ ANHANGABAU,CENTRO/BAIRRO,CET,26.1
2020,10,20,PJ,PIRITUBA/JARAGUA,-23.506887,-46.747631,PC. FENELON GUEDES PEREIRA (SAO DOMINGOS),PSS FANDI CHAQUIB KALIL,UNICO,CET,32.9
2020,10,20,LA,LAPA,-23.526435,-46.682228,AV. POMPEIA (BARRA FUNDA),R PALESTRA ITALIA,AMBOS,CET,34.3
2020,10,20,SE,SE,-23.55577,-46.649495,PC. QUATORZE BIS (BELA VISTA),R MANOEL DUTRA,AMBOS,CET,26.1
2020,10,20,VM,VILA MARIANA,-23.626548,-46.629475,AV. PROF ABRAAO DE MORAIS (CURSINO),AV FAGUNDES FILHO,S PAULO/SANTOS,CET,28.9
2020,10,20,CV,CASA VERDE/CACHOEIRINHA,-23.484722,-46.68042,AV. INAJAR DE SOUZA (BRASILANDIA),ALTURA DO NÚMERO 2505,FREGUESIA/LAPA,CET,46.4
2020,10,20,PI,PINHEIROS,-23.620426,-46.683135,AV. STO AMARO (CAMPO BELO),R ASSIS BRASIL,CENTRO/BAIRRO,CET,33.3
2020,10,20,IP,IPIRANGA,-23.619886,-46.62776,PC. LEONOR KAUPA (CURSINO),AV PROF ABRAAO DE MORAIS,AMBOS,CET,17.4
2020,10,20,JT,JACANA/TREMEMBE,-23.457379,-46.616521,R. CONCHILIA,TRAV. CORRENTINOS,AMBOS ,CET,43.2
2020,10,20,PI,PINHEIROS,-23.563443,-46.700552,PC. FENELON GUEDES PEREIRA,AV. ELISIO CORDEIRO DE SIQUEIRA,ÚNICO,CET,33.3
